submission_id,zip,age,gender,cups,cups_num,home_brew,party
gMR29l,NA,18-24 years old,NA,NA,NA,NA,NA
BkPN0e,NA,25-34 years old,NA,NA,NA,Pod/capsule machine (e.g. Keurig/Nespresso),NA
W5G8jj,NA,25-34 years old,NA,NA,NA,Bean-to-cup machine,NA
4xWgGr,NA,35-44 years old,NA,NA,NA,Coffee brewing machine (e.g. Mr. Coffee),NA
QD27Q8,NA,25-34 years old,NA,NA,NA,Pour over,NA
V0LPeM,NA,55-64 years old,NA,NA,NA,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press",NA
V0Gaxg,10023,18-24 years old,NA,NA,NA,"Pour over, French press, Espresso, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso)",NA
AdzRL0,NA,NA,NA,NA,NA,NA,NA
EXQLWN,NA,NA,NA,NA,NA,NA,NA
xpa2K9,NA,NA,NA,NA,NA,NA,NA
V00RoJ,NA,NA,NA,NA,NA,NA,NA
7WWB4A,12345,<18 years old,NA,2,2,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",NA
pKL8aB,NA,25-34 years old,NA,1,1,NA,NA
Zd694B,12345,<18 years old,Other (please specify),3,3,"Pour over, Espresso, Instant coffee",Democrat
QAeYZY,99999,>65 years old,NA,3,3,NA,NA
QA5JYA,10025,25-34 years old,Female,1,1,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
Rz5BPj,1930,25-34 years old,NA,2,2,NA,NA
jyDqva,2312,18-24 years old,NA,2,2,NA,NA
eB7QoJ,12345,18-24 years old,NA,3,3,Pour over,NA
24xzlg,11221,18-24 years old,NA,NA,NA,Other,NA
DVvoqX,11201,35-44 years old,NA,NA,NA,Espresso,NA
1r2YJQ,73044,25-34 years old,NA,More than 4,5,Coffee extract (e.g. Cometeer),NA
24xYOV,8094,45-54 years old,NA,1,1,Pour over,NA
AlbYao,85225,18-24 years old,NA,2,2,"Pod/capsule machine (e.g. Keurig/Nespresso), French press",NA
J2krYz,94107,35-44 years old,NA,1,1,"Pour over, Espresso",NA
WAp6ak,NA,NA,NA,NA,NA,NA,NA
aBr18q,NA,25-34 years old,NA,3,3,NA,NA
42NYWO,NA,18-24 years old,NA,NA,NA,NA,NA
6dQ08e,75707,25-34 years old,NA,1,1,"Espresso, Cold brew, Pour over",NA
J2kj9J,110034,18-24 years old,NA,2,2,"French press, Cold brew",NA
8dpDNA,61761,18-24 years old,NA,3,3,"Pour over, Espresso",NA
EPbVlL,94306,<18 years old,NA,NA,NA,Pour over,NA
vNx6A4,61600,18-24 years old,NA,NA,NA,NA,NA
KMB2og,NA,NA,NA,NA,NA,NA,NA
qbEQPO,61600,18-24 years old,NA,3,3,"Pour over, Cold brew, Other",NA
9dJ0O5,H1032,25-34 years old,NA,2,2,"French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other",NA
BGboZR,92008,18-24 years old,NA,3,3,"Pour over, French press, Espresso, Other, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)",NA
oAVNdO,48109,>65 years old,NA,1,1,Pod/capsule machine (e.g. Keurig/Nespresso),NA
YZzBdN,505415,25-34 years old,Male,2,2,"Pour over, Espresso",Independent
